public.select.selectAtmost,You can select at most {{x}},Puede seleccionar como máximo {{x}},Vous pouvez sélectionner au plus {{x}},Sie können höchstens {{x}} auswählen,Puoi selezionare al massimo {{x}},Você pode selecionar no máximo {{x}},Je kunt maximaal {{x}} selecteren,Μπορείτε να επιλέξετε το πολύ {{x}},Максимальное количество вариантов: {{x}},En fazla {{x}} seçim yapabilirsiniz,최대 {{x}}까지 선택할 수 있습니다.,Bạn có thể chọn nhiều nhất {{x}},आप अधिकतम {{x}} चुन सकते हैं,您最多可以选择{{x}},最大で{{x}}個選択できます,Možete odabrati najviše {{x}},Можете да изаберете највише {{к}},Можете да изберете най-много {{x}},Може да изберете најмногу {{x}},Můžete vybrat maximálně {{x}},Du kan højst vælge {{x}},Voit valita korkeintaan {{x}},Du kan velge maksimalt {{x}},Du kan välja högst {{x}},আপনি সর্বাধিক select {{x}} select নির্বাচন করতে পারেন,Legfeljebb {{x}} választhat,Anda dapat memilih paling banyak {{x}},Puteți selecta cel mult {{x}},Ви можете вибрати не більше {{x}},Możesz wybrać co najwyżej {{x}},Možete odabrati najviše {{x}},"Lūdzu, izvēlieties ne vairāk kā {{x}} variantus",Maaari kang pumili ng higit sa {{x}},आपण जास्तीत जास्त select {{x}} select निवडू शकता,તમે વધુમાં વધુ {{x}} select પસંદ કરી શકો છો,حداکثر می توانید {{x}} را انتخاب کنید,يمكنك تحديد {{x}} على الأكثر,אתה יכול לבחור לכל היותר {{x}},آپ زیادہ سے زیادہ {{x}} select کو منتخب کرسکتے ہیں
public.select.selectAtleastAtMost,You must select at least {{x}} and at most {{y}},Debe seleccionar al menos {{x}} y como máximo {{y}},Vous devez sélectionner au moins {{x}} et au maximum {{y}},Sie müssen mindestens {{x}} und höchstens {{y}} auswählen ,Deve selezionare almeno {{x}} e al massimo{{y}},Tem de seleccionar no mínimo {{x}} e no máximo {{y}},Je moet minimaal {{x}} en maximaal {{y}} selecteren,Πρέπει να επιλέξετε τουλάχιστον {{x}} και το πολύ {{y}},"Пожалуйста, выберите от {{x}} до {{y}} вариантов","En az {{x}}, en fazla {{y}} secebilirsiniz",최저값{{x}}과 최고값{{y}}을 선택하십시오,Bạn phải lựa chọn tối thiểu {{x}} và tối đa {{y}},आपको कम से कम {{x}} और अधिकतम {{y}} का चयन करना होगा,您必须至少选择{{x}}，最多选择{{y}},最低{{x}}個、最大{{y}}個選択してください。,Morate odabrati najmanje {{x}} a najviše {{y}},Морате изабрати најмање {{x}} и највише {{y}},Посочете минимум {{x}} и максимум {{y}},Мора да изберете најмалку {{x}} и најмногу {{y}},Musíte vybrat nejméně {{x}} a nejvýše {{y}},Du skal vælge mindst {{x}} og mest {{y}},Sinun on valittava vähintään {{x}} ja korkeintaan {{y}},Du må velge minst {{x}} oh mest {{y}},Du måste minst välja {{x}} och som mest {{y}},আপনাকে অবশ্যই কমপক্ষে {{X}} এবং সর্বাধিক {{Y }} নির্বাচন করতে হবে,Kérem legalább ennyit {{x}} és maximum ennyit {{y}} válasszon,Andah harus memilih setidaknya {{x}} dan paling banyak {{y}},Trebuie să selectați cel puțin {{x}} și cel mult {{y}},Ви повинні вибрати не менше {{x}} и не бiльше {{y}},"Konieczne jest wybranice co najmniej{{x}}, a maksymalnie {{y}}",Морате изабрати најмање {{x}} и највише {{y}},"Lūdzu, izvēlieties starp {{x}} un {{y}} variantiem",Pumili ka ng hindi bababa sa {{x}} at hindi lalagpas sa {{y}},आपण किमान {{X }} आणि जास्तीत जास्त {{Y}}निवडणे आवश्यक आहे,તમારે ઓછામાં ઓછું {{x}} અને વધુમાં વધુ {{Y}} select પસંદ કરવું આવશ્યક છે,حداقل {{x}} و حداکثر {{y}} را انتخاب نمایید,يجب تحديد {{x}} على الأقل و {{y}} على الأكثر,עליכם לבחור לפחות {{x}} ועד {{y}},آپ کو کم از کم {{x}} اور زیادہ سے زیادہ {{y} select منتخب کرنا چاہئے
public.global.errorTrialExceeded,This functionality is not available. Trial restrictions have been exceeded,Esta funcionalidad no está disponible. Se han excedido las restricciones de prueba,Cette fonctionnalité est actuellement indisponible. Les conditions d'essai ont été dépassées,Diese Funktion/Funktionalität ist nicht verfügbar. Die Anzahl der Mindestversuche wurde überschritten.,Questa funzionalità non è disponibile. Le restrizioni di prova sono state superate,Esta funcionalidade não está disponível. Número máximo de tentativas foi excedido,Deze functionaliteit is niet beschikbaar. Test restricties zijn overschreden.,Αυτή η λειτουργία δεν είναι διαθέσιμη. Έχει γίνει υπέρβαση των διαθέσιμων δοκιμών.,Функция недоступна. Квота пробной версии превышена.,Bu secenek mevcut degil. Maksimum deneme sayisi asildi,이 기능은 사용불가합니다. 시험기간이 초과되었습니다. (トライアル期間がすぎて使えないことですよね？),Chức năng này không sẵn có. Đã vượt quá giới hạn lần thử,यह कार्यक्षमता उपलब्ध नहीं है। परीक्षण प्रतिबंधों को पार कर लिया गया है,此功能不可用， 已超出试用限制,この機能は利用できません。試用制限を超えました。,Ova funkcija nije dostupna. Premašena su probna ograničenja,Ова функционалност није доступна. Превазиђене су рестрикције пробне верзије,Тази функция не е достъпна,Оваа функционалност не е достапна. Надминати се рестрикциите од пробната верзија,Tato funkce není k dispozici. Omezení zkušební verze byla překročena,Denne funktionalitet er ikke tilgængelig.,Tämä ominaisuus ei ole käytettävissä. Koeajan rajoitukset on ylitetty.,Denne funksjonen er ikke tilgjengelig. Forsøksrestriksjonene er overskredet,Den här funktionen är inte tillgänglig. Test-restriktioner har överskridits,এই কার্যকারিতা উপলব্ধ নয়। বিচারের সীমাবদ্ধতা অতিক্রম করা হয়েছে,Ez a lehetőség nem elérhető. Próbaverzióban meglévő korlátozásokat kimerítette.,Fungsi ini tidak tersedia. Batasan uji coba telah terlampaui,Această funcționalitate nu este disponibilă. Restricțiile de încercare au fost depășite,Недоступно. Час пробної версії минув,Ta funkcja jest niedostępna. Przekroczono ilość dozwolonych prób,Ова функционалност није доступна. Превазиђене су рестрикције пробне верзије,Funkcionalitāte nav pieejama. Izmēģinājuma versijas pasūtījumu skaits ir pārsniegts.,Ang paraang ito ay hindi magagamit. Ang mahigpit na pagsusubok ay lumampas,ही कार्यक्षमता उपलब्ध नाही. चाचणी प्रतिबंध मर्यादा ओलांडली आहे,આ વિધેય ઉપલબ્ધ નથી. ટ્રાયલ પ્રતિબંધ ઓળંગાઈ ગયો છે,این قابلیت در دسترس نیست. از محدودیت های آزمایشی فراتر رفته است,هذه الوظيفة غير متاحة. تم تجاوز الحدود التجريبية,אפשרות זו לא זמינה בגלל הגבלות גרסת הנסיון,یہ فعالیت دستیاب نہیں ہے۔ مقدمے کی پابندیاں حد سے تجاوز کر گئیں
public.global.emptyCart,There are no items in your order,No hay artículos en su pedido,Vous n'avez aucun article dans votre commande,Ihre Bestellung hat keine Positionen,Non ci sono articoli nel suo ordine,Não tem items no seu pedido,Er zijn geen producten in je bestelling,Δεν υπάρχουν στοιχεία στην παραγγελία σας,Ваша корзина пуста,Siparisinizde urun bulunmamaktadir,주문하신 내역이 없습니다,Không có sản phẩm nào trong đơn hàng của bạn,आपके ऑर्डर में कोई आइटम नहीं हैं,您的订单里没有菜品,カートに商品がありません,U svoju narudžbu niste dodali nijedan proizvod,Нисте додали производе у поруџбини,Кошницата е празна,Немате додадени производи во нарачката,Ve vaší objednávce nejsou žádné položky,Der er ikke indhold i din kurv,Tilauksessasi ei ole tuotteita.,Det er ingen varer i din ordre,Det finns inga artiklar i din order,আপনার অর্ডারে কোনও আইটেম নেই,Jelenleg üres a kosara.,Tidak ada barang dalam pesanan Anda,Nu există articole în comanda dvs.,У вашому кошику нічого немає,W Twoim zamówieniu nie ma żadnych produktów,Нисте додали производе у поруџбини,Jūsu pasūtījums ir tukšs,Walang item sa iyong order,आपल्या ऑर्डरमध्ये कोणतेही आयटम नाहीत,તમારા ઓર્ડરમાં કોઈ આઇટમ્સ નથી,هیچ آیتمی در سفارش شما وجود ندارد,لا توجد عناصر في طلبك,אין מוצרים בהזמנה שלכם,آپ کے آرڈر میں کوئی آئٹمز نہیں ہیں
public.global.optional,(optional),(opcional),(facultatif),(optional),(opzionale),(opcional),(optioneel),(προαιρετικό),необязательно,Terchinen,(부가 옵션),(tùy chọn),(वैकल्पिक),自选,（任意）,(Opcionalno),(опционално),(по избор),(опционално),(volitelný),(Valgfri),(valinnainen),(valgfritt),(tillval),(ঐচ্ছিক),(opcionális),(opsional),(Opțional),(вибірково),(opcjonalne),(опционално),nav obligāti,opsyonal,(पर्यायी),(વૈકલ્પિક),(اختیاری),(اختياري),(אופציונלי),(اختیاری)
public.load.loadingMessage,One moment please ...,Un momento por favor ...,"Un instant, s'il vous plait",Einen Moment bitte,Un attimo per favore ...,Um momento por favor...,Een moment alsjeblieft ...,Μια στιγμή παρακαλώ ...,"Пожалуйста, подождите",Lutfen bekleyiniz,잠시만 기다려 주세요,Vui lòng chờ trong chốc lát…,कृपया एक क्षण ...,稍等一下,お待ちください,Molimo pričekajte ...,Молимо вас сачекајте...,Един момент моля...,Ве молиме причекајте ...,Okamžik prosím ...,"Et øjeblik, tak.",Hetkinen...,Et øyeblikk ...,Ett ögonblick tack …,এক মুহুর্ত অপেক্ষা করুন,Egy pillanat...,Tolong tunggu sebentar …,Un moment va rog ...,"Будь ласка, секунду ...",Prosimy o chwilę cierpliwości,Молимо вас сачекајте...,"Lūdzu, nedaudz uzgaidiet",Sandali lamang,कृपया क्षणभर थांबा ...,કૃપા કરી એક ક્ષણ ...,چند لحظه لطفا ...,لحظة واحدة من فضلك ...,רגע אחד בבקשה...,ایک لمحے کے لئے براہ مہربانی ...
public.itemDetails.removeFromOrder,Remove this from your order,Elimina esto de su pedido,Retirer cet article de votre commande,Entfernen Sie dies aus Ihrer Bestellung,Rimuovi questo dal suo ordine,Remover este item do seu pedido,Verwijder uit je bestelling,Αφαίρεση από την παραγγελία,Убрать из корзины,Siparisten cikar,주문 내역에서 제거하기,Gỡ bỏ sản phẩm này ra khỏi đơn hàng của bạn,इसे अपने ऑर्डर से हटा दें,在订单中取消,こちらを注文から削除します,Izađite iz reda,Склони са поруџбине,Премахнете това от поръчката,Отстрани од порачката,Toto odstraňte z vaší objednávky,Fjern dette fra din kurv,Poista tämä tilauksestasi,Slett dette fra ordren din,Ta bort denna från din order,আপনার অর্ডার থেকে এটি সরান,Termék eltávolítása a kosárból,Hilangkan ini dari pesanan Anda,Eliminați acest lucru din comanda dvs.,Видаліть цю позицію з замовлення,Usuń ze swojego zamówienia,Склони са поруџбине,Izņemt preci,Tanggalin ito sa iyong order,आपल्या ऑर्डरवरून हे काढा,તમારા ઓર્ડરથી આને દૂર કરો,حذف از سفارش,إزالة من الطلب,הוצא מוצר מההזמנה,اسے اپنے آرڈر سے ہٹا دیں
public.itemDetails.addToOrder,Add to your order,Añadir a su pedido,Ajouter à votre commande,Fügen Sie zu Ihrer Bestellung hinzu,Aggiunge al suo ordine,Adicionar ao seu pedido,Voeg toe aan je bestelling,Προσθήκη στην παραγγελία,Добавить в корзину,Siparise ekle,주문 내역에 추가하기,Thêm vào đơn hàng của bạn,अपने ऑर्डर में जोड़ें,加入订单,注文に追加する,Dodaj u narudžbu,Додај у поруџбину,Добавете към поръчката,Додај на порачката,Přidejte k vaší objednávce,Tilføj til kurven,Lisää tilaukseesi,Legg til din ordre,Lägg till på din order,আপনার অর্ডারে যোগ করুন,Termék hozzáadása a kosarához,Tambahkan ke pesanan Anda,Adăugați la comanda dvs.,Додайте до свого замовлення,Dodaj do zamówienia,Додај у поруџбину,Pievienot pasūtījumam,Idagdag sa iyong order,आपल्या ऑर्डरमध्ये जोडा,તમારા ઓર્ડરમાં ઉમેરો,افزودن به سفارش,أضف إلى طلبك,הוסף להזמנה,اپنے آرڈر میں شامل کریں
public.itemDetails.updateOrder,Update your order,Actualiza su pedido,Actualiser votre commande,Aktualisieren Sie Ihre Bestellung,Aggiorna il suo ordine,Actualizar o seu pedido,Actualiseer je bestelling,Ενημέρωση παραγγελίας,Обновить корзину,Siparisi guncelle,주문 내역 새로고침,Cập nhật đơn hàng của bạn,अपने ऑर्डर को अद्यतन करें,更新订单,注文を更新,Ažurirajte narudžbu,Ажурирај поруџбину,Обновете поръчката,Ажурирај ја порачката,Aktualizujte svou objednávku,Opdater din kurv,Päivitä tilauksesi,Oppdater din ordre,Uppdatera din order,আপনার অর্ডার আপডেট করুন,Kosár frissítése,Perbarui pesanan Anda,Actualizați-vă comanda,Оновіть своє замовлення,Zaktualizuj  zamówienie,Ажурирај поруџбину,Atjaunināt pasūtījumu,Baguhin ang iyong order,आपली ऑर्डर अद्यतनित करा,તમારો ઓર્ડર અપડેટ કરો,بروزرسانی سفارش,حدث طلبك,עדכן הזמנה,اپنے آرڈر کو اپ ڈیٹ کریں
public.checkout.yourOrder,Your order,Su pedido,Votre commande,Ihre Bestellung,Il suo ordine,O seu pedido,Jouw bestelling,Η παραγγελία σου,Ваш заказ,Siparisiniz,주문 내역,Đơn hàng của bạn,आपका ऑर्डर,您的订单,ご注文内容,Vaša narudžba,Ваша поруџбина,Вашата поръчка,Вашата порачка,Vaše objednávka,Din kurv,Tilauksesi,Din ordre,Din order,আপনার অর্ডার,Az Ön rendelése,Pesanan Anda,Comanda dumneavoastră,Ваше замовлення,Twoje zamówienie,Ваша поруџбина,Jūsu pasūtījums,Ang iyong order,आपले ऑर्डर,તમારો ઓર્ડર ,سفارش شما,طلبك,ההזמנה שלכם,آپ کے حکم
public.checkout.total,Total,Total,Total,Summe,Totale,Total,Totaal,Σύνολο,Итого,Toplam,합계,Tổng số,कुल,总计,合計,Ukupno,Укупно,Обща сума,Вкупно,Celkem,I alt,Yhteensä,Sum,Totalt,মোট,Összesen,Jumlah,Total,Всього,Suma,Укупно,Kopā,Kabuuan,एकूण,કુલ,جمع کل,المجموع,סך הכל,کل
public.checkout.specialNote,Add a special note to your order,Añadir una nota especial a su pedido,Ajoutez un commentaire à votre commande,Fügen Sie Ihrer Bestellung eine Notiz hinzu,Aggiungere una nota speciale al suo ordine,Adicionar uma nota ao seu pedido,Voeg een speciale notitie toe aan je bestelling,Σχόλια παραγγελίας,Добавить заметку с особыми пожеланиями,Siparisinize not ekleyin,주문 내역에 메모하기,Thêm một ghi chú đặc biệt vào đơn hàng của bạn,अपने ऑर्डर में एक विशेष नोट जोड़ें,在订单中加备注,注文に関するご要望,Dodajte posebnu bilješku o svojoj narudžbi,Додајте посебну напомену о Вашој поруџбини,Специални инструкции към поръчката,Додај посебна забелешка за Вашата порачка,Přidejte k objednávce zvláštní poznámku,Tilføj ønske til din kurv,Lisää tilaukseesi erityismaininta,Legg en spesiell beskjed til din ordre,Lägg till ett speciellt meddelande till din order,আপনার অর্ডারে একটি বিশেষ নোট যোগ করুন,Különleges megjegyzés hozzáadása rendeléséhez,Tambahkan pesan spesial di pesanan Anda,Adaugă o notă specială la comanda ta,Додайте коментар до свого замовлення,Dodaj specjalną notkę do swojego zamówienia,Додајте посебну напомену о Вашој поруџбини,Pievienot īpašu atzīmi pasūtījumam,Magdagdag ng ispesyal na tala sa iyong order,आपल्या ऑर्डरवर एक विशेष टीप जोडा,તમારા ઓર્ડર પર એક ખાસ નોંધ ઉમેરો,افزودن یادداشت ویژه به سفارش,أضف ملاحظة خاصة إلى طلبك,הוסיפו הערה להזמנה שלכם,اپنے آرڈر میں ایک خاص نوٹ شامل کریں
public.checkout.howToReceiveYourOrder,How would you like to receive your order?,¿Cómo le gustaría recibir su pedido?,Comment souhaitez-vous recevoir votre commande?,Wie möchten Sie Ihre Bestellung erhalten,Come desidera ricevere l'ordine?,Como gostaria de receber o seu pedido?,Hoe wil jij jouw bestelling ontvangen?,Πώς θα ήθελες να παραλάβεις την παραγγελία σου;,Способ получения заказа,Siparisinizi nasil teslim almak istersiniz,배송방법 선택하기,Bạn muốn nhận đơn hàng của bạn theo cách nào?,आप अपना ऑर्डर  कैसे प्राप्त करना चाहेंगे?,您想如何接收订单,ご注文の受取方法,Kako bi oni postavili vašu narudžbu?,Како би подигли вашу поруџбину?,Как желаете да получите поръчката,Како би ја подигнале вашата порачка?,Jak byste chtěli obdržet vaši objednávku?,Hvordan vil du modtage din ordre,Miten haluat vastaanottaa tilauksesi?,Hvordan ønsker du å motta din ordre,Hur skulle du vilja erhålla din order?,আপনি কিভাবে আপনার অর্ডার পেতে চান?,Hogyan szeretné megkapni rendelését?,Bagaimana Anda ingin menerima pesanan Anda?,Cum ați dori să primiți comanda dvs.?,Як би ви хотіли отримати своє замовлення?,Jak chciał(a)byś otrzymać swoje zamówienie?,Како би подигли вашу поруџбину?,Kā vēlaties saņemt pasūtījumu?,Paano mo gustong matanggap ang iyong order?,आपण आपली ऑर्डर कशी प्राप्त करू इच्छिता?,તમે તમારો ઓર્ડર કેવી રીતે પ્રાપ્ત કરવા માંગો છો?,چطور مایل هستید تا سفارش خود را دریافت نمایید؟,كيف تريد استلام طلبك؟,איך תרצו לקבל את ההזמנה שלכם?,آپ اپنا آرڈر کس طرح حاصل کرنا چاہیں گے؟
public.checkout.option.pickup,I will pick it up myself,Lo recogeré yo mismo,Je viendrai la chercher,Ich werde sie selber abholen,Lo raccoglierò da solo,Quero levantar o pedido pessoalmente,Ik haal het zelf op,Θα την παραλάβω ο ίδιος,Самовывоз,Kendim teslim alacagim,방문 수령,Chính tôi sẽ đi lấy,मैं इसे खुद उठाऊंगा,自取,テイクアウト,Pokupit ću ga,Ја ћу је подићи,Взимане на място,Јас ќе ја подигнам,Vyzvednu si ji sám (sama),Jeg henter selv,Noudan sen itse,Jeg plukker det opp selv,Jag kommer hämta den själv,আমি নিজেই এটি গ্রহণ করব,Magam szeretném átvenni,Saya akan mengambilnya sendiri,O voi ridica singură,Я заберу сам,Odbiorę zamówienie osobiście,Ја ћу је подићи,Vēlos izņemt pasūtījumu patstāvīgi,Ako mismo ang kukuha nito,"
मी स्वतःच उचलून घेईन",હું તેને જાતે જ ઉપાડીશ,دریافت سفارش از محل فروشگاه,استلم الطلب من موقع المتجر,אאסוף אותה בעצמי,میں اسے خود اٹھاؤں گا
